date,value
2015-07-14,999.9999999999995
2015-07-15,999.6679593504832
2015-07-16,1007.6898984780617
2015-07-17,1008.5439355474464
2015-07-20,1009.0659319673148
2015-07-21,1005.0788978491196
2015-07-22,1003.2755911927741
2015-07-23,997.6268260325976
2015-07-24,987.279583828805
2015-07-27,981.5360954158524
2015-07-28,993.5924302880142
2015-07-29,1000.4272731670918
2015-07-30,1000.664590563832
2015-07-31,999.1459629306148
2015-08-03,995.7756484850642
2015-08-04,993.8297476847545
2015-08-05,997.1048296127291
2015-08-06,988.9408056059864
2015-08-07,987.0422664320649
2015-08-10,999.478003580131
2015-08-11,990.4599425040036
2015-08-12,991.6465294877046
2015-08-13,990.4120716128157
2015-08-14,994.0197034551065
2015-08-17,999.5732360977071
2015-08-18,996.6775564456368
2015-08-19,988.7982114620223
2015-08-20,968.1510886808254
2015-08-21,938.0581223916089
2015-08-24,899.7058995780736
2015-08-25,888.8840225808008
2015-08-26,923.0113846146006
2015-08-27,945.8422348576473
2015-08-28,945.8895964840353
2015-08-31,938.2475688971612
2015-09-01,910.2430975522184
2015-09-02,927.5204151526644
2015-09-03,928.185005716497
2015-09-04,914.1354084176374
2015-09-08,937.1088528046481
2015-09-09,924.577883139006
2015-09-10,929.6089100969381
2015-09-11,933.8337708766734
2015-09-14,930.3687331783467
2015-09-15,941.9977948834162
2015-09-16,950.1618188901588
2015-09-17,948.0254530546971
2015-09-18,932.5356549018006
2015-09-21,937.3543184381863
2015-09-22,925.1879823692522
2015-09-23,923.708568125625
2015-09-24,920.3688095680666
2015-09-25,920.1304736417267
2015-09-28,897.0373520267461
2015-09-29,897.5624040354138
2015-09-30,914.3095769791936
2015-10-01,916.6949733017924
2015-10-02,930.3885945055416
2015-10-05,946.9442838845696
2015-10-06,943.700267109387
2015-10-07,951.4293789770393
2015-10-08,960.0176205620751
2015-10-09,960.5900341971308
2015-10-12,961.4965255409024
2015-10-13,955.4372929520293
2015-10-14,950.8569653419836
2015-10-15,965.4570778895043
2015-10-16,969.8464311995981
2015-10-19,970.323612317078
2015-10-20,968.9878107470146
2015-10-21,963.0711723021055
2015-10-22,979.3411641284056
2015-10-23,990.0764661097003
2015-10-26,987.6431988959134
2015-10-27,985.7344744259944
2015-10-28,996.9469575247689
2015-10-29,996.3745438897131
2015-10-30,992.0804230971952
2015-11-02,1003.8174489398375
2015-11-03,1006.7278972711041
2015-11-04,1003.6743455310735
2015-11-05,1002.672621669726
2015-11-06,1002.1475696610582
2015-11-09,992.795940141015
2015-11-10,995.0861039460378
2015-11-11,991.1739317534236
2015-11-12,977.3372071409104
2015-11-13,966.3635692332758
2015-11-16,981.0589142983727
2015-11-17,980.3428879897531
2015-11-18,995.8973627722335
2015-11-19,995.0382330548499
2015-11-20,998.668272548335
2015-11-23,997.5193711598247
2015-11-24,998.8556819946879
2015-11-25,998.7120693211241
2015-11-27,999.8574058560354
2015-11-30,995.7063884722816
2015-12-01,1005.2011214010888
2015-12-02,994.9384171540751
2015-12-03,981.0110434071847
2015-12-04,1000.1436126735633
2015-12-07,994.0843800846903
2015-12-08,987.3997703215748
2015-12-09,979.7226034635094
2015-12-10,982.2516124596721
2015-12-11,963.2142757108696
2015-12-14,968.0848842568422
2015-12-15,978.2477726030811
2015-12-16,992.557604214675
2015-12-17,977.4324396584866
2015-12-18,960.0211854156742
2015-12-21,967.9366882000794
2015-12-22,976.7199782034661
2015-12-23,988.8150172004181
2015-12-24,987.1833327816292
2015-12-28,984.9272897181979
2015-12-29,995.438515187549
2015-12-30,988.3831606501269
2015-12-31,978.4957845606186
2016-01-04,964.8133671824665
2016-01-05,966.4491257196544
2016-01-06,954.2578356755266
2016-01-07,931.3638365972957
2016-01-08,921.1551144190685
2016-01-11,922.0524389964423
2016-01-12,929.4958533113665
2016-01-13,906.3100455028094
2016-01-14,921.18872589586
2016-01-15,901.414482981643
2016-01-19,902.6143108501407
2016-01-20,891.0468701858557
2016-01-21,896.0386837541978
2016-01-22,914.4211059703654
2016-01-25,900.5981315074489
2016-01-26,912.8851633339525
2016-01-27,902.9499163532562
2016-01-28,907.6539953096707
2016-01-29,929.7835879232941
2016-02-01,929.4439083017797
2016-02-02,912.6931705044009
2016-02-03,918.1647115142221
2016-02-04,919.6049123682591
2016-02-05,902.0862032526738
2016-02-08,889.9432933645338
2016-02-09,889.9911642557217
2016-02-10,889.2231929375153
2016-02-11,877.6562615380301
2016-02-12,895.7509491422703
2016-02-16,910.8694932560604
2016-02-17,925.748173649111
2016-02-18,921.9566972140665
2016-02-19,921.5248406637753
2016-02-22,934.8675784204129
2016-02-23,923.0602740353884
2016-02-24,927.284116285524
2016-02-25,938.5154421818936
2016-02-26,936.351576047239
2016-02-29,929.0120517514886
2016-03-01,950.8503448995853
2016-03-02,955.1220580409089
2016-03-03,958.8417281391713
2016-03-04,961.9854197487791
2016-03-07,962.7533910669856
2016-03-08,952.2421655976345
2016-03-09,956.9457352892491
2016-03-10,957.7137066074556
2016-03-11,973.1683654891611
2016-03-14,971.9206667294756
2016-03-15,970.3368532018746
2016-03-16,975.9520068852596
2016-03-17,982.1416112628999
2016-03-18,986.0008199163273
2016-03-21,987.3997703215748
2016-03-22,986.8691164001084
2016-03-23,980.3525640209507
2016-03-24,979.9222352650592
2016-03-28,980.5012693425132
2016-03-29,989.5748402818267
2016-03-30,993.9127578471335
2016-03-31,991.5008797549413
2016-04-01,998.2547495308393
2016-04-04,995.0224458460538
2016-04-05,985.0805784229593
2016-04-06,995.8428714386471
2016-04-07,983.92658438645
