date,AMGN,AXP,FL,GGG,JBLU,V,TRP,COT,
2015-08-17,1.30E+11,82053000000,10461852000,448265829.9,8430200000,1.82E+11,25690000000,1250000000,
2015-08-18,1.29E+11,82296120000,10473156000,446038422,8305820000,1.82E+11,25800000000,1231000000,
2015-08-19,1.28E+11,82002350000,10464678000,436819428.4,8271270000,1.82E+11,25040000000,1205000000,
2015-08-20,1.24E+11,79783880000,10134036000,428714138.8,7936135000,1.81E+11,24470000000,1194000000,
2015-08-21,1.19E+11,78031390000,9752526000,417205864.9,7486985000,1.74E+11,24040000000,1157000000,
2015-08-24,1.13E+11,75620450000,9571662000,400871540.6,7331510000,1.67E+11,23210000000,1125000000,
2015-08-25,1.12E+11,74475760000,9604161000,400933413.1,7421340000,1.64E+11,22940000000,1135000000,
2015-08-26,1.18E+11,76613190000,9987084000,407306274.4,7673555000,1.73E+11,23030000000,1161000000,
2015-08-27,1.20E+11,77879440000,10149579000,418938293.2,7732290000,1.77E+11,24230000000,1168000000,
2015-08-28,1.20E+11,77646450000,10119906000,423083746.7,7702922500,1.77E+11,24420000000,1165000000,
2015-08-31,1.17E+11,77717360000,10002627000,426857965.6,7711560000,1.75E+11,24550000000,1158000000,
2015-09-01,1.13E+11,74962000000,9947520000,407863126.4,7639005000,1.69E+11,23600000000,1114000000,
2015-09-02,1.17E+11,75914220000,10094472000,413246028.7,8129615000,1.70E+11,23470000000,1111000000,
2015-09-03,1.15E+11,76238380000,10016757000,417762716.8,8091610000,1.72E+11,23840000000,1135000000,
2015-09-04,1.13E+11,75043040000,10005453000,419185783,8195260000,1.69E+11,23360000000,1114000000,
2015-09-08,1.19E+11,76471370000,10214577000,428714138.8,8592585000,1.73E+11,23560000000,1238000000,
2015-09-09,1.16E+11,76096560000,10050669000,429642225.4,8596040000,1.70E+11,23380000000,1204000000,
2015-09-10,1.18E+11,76289030000,10122732000,428961628.5,8768790000,1.72E+11,23400000000,1241000000,
2015-09-11,1.18E+11,76481500000,10201860000,429765970.2,8872440000,1.73E+11,22850000000,1247000000,
2015-09-14,1.16E+11,76116820000,10217403000,425187409.7,9097015000,1.71E+11,23120000000,1229000000,
2015-09-15,1.17E+11,77494500000,10264032000,432797719.8,9110835000,1.73E+11,22890000000,1221000000,
2015-09-16,1.16E+11,78325160000,10365768000,438118749.7,9207575000,1.74E+11,23620000000,1249000000,
2015-09-17,1.18E+11,78061780000,10385550000,435148872.6,9335410000,1.74E+11,23690000000,1245000000,
2015-09-18,1.16E+11,76937350000,10362942000,425744261.6,9297405000,1.71E+11,23640000000,1235000000,
2015-09-21,1.13E+11,77737620000,10355877000,432921464.7,9273220000,1.73E+11,24490000000,1269000000,
2015-09-22,1.12E+11,76694230000,10324791000,420980083.7,9100470000,1.72E+11,24000000000,1239000000,
2015-09-23,1.12E+11,76613190000,10435005000,415102201.9,9197210000,1.74E+11,23240000000,1237000000,
2015-09-24,1.10E+11,75660970000,10509894000,405388228.8,9117745000,1.72E+11,23240000000,1223000000,
2015-09-25,1.06E+11,76076300000,10704888000,404778620.3,9211030000,1.73E+11,23500000000,1222000000,
2015-09-28,1.02E+11,74293420000,10439244000,400027983.5,8803340000,1.65E+11,22010000000,1176000000,
2015-09-29,1.03E+11,74050300000,10160883000,398992588.3,8703145000,1.68E+11,21850000000,1157000000,
2015-09-30,1.06E+11,73907610000,10169361000,408250239.5,8797878000,1.71E+11,22390000000,1188000000,
2015-10-01,1.07E+11,73668330000,10053495000,406179449.1,8954922000,1.72E+11,22610000000,1191000000,
2015-10-02,1.09E+11,74186770000,10015344000,413244498.7,8951508000,1.74E+11,23040000000,1183000000,
2015-10-05,1.10E+11,77068100000,10194795000,429932633.3,9043686000,1.77E+11,24250000000,1215000000,
2015-10-06,1.08E+11,76679270000,9995562000,433708780.5,8705700000,1.77E+11,24450000000,1184000000,
