date,value
2015-07-14,999.9999999999989
2015-07-15,993.8304270615026
2015-07-16,1003.1357310912533
2015-07-17,1006.1605487669655
2015-07-20,1009.676387349745
2015-07-21,1012.5650055449885
2015-07-22,1005.5975837160252
2015-07-23,993.4873341396482
2015-07-24,998.7268163763342
2015-07-27,987.269196866767
2015-07-28,992.5153591903361
2015-07-29,999.6618212831257
2015-07-30,1016.6850673164186
2015-07-31,1016.9050410834163
2015-08-03,1014.2732124563421
2015-08-04,1020.0094430076775
2015-08-05,1011.1811638887307
2015-08-06,1002.789359150142
2015-08-07,1015.2772745765251
2015-08-10,1020.4662218320389
2015-08-11,1013.9970542707606
2015-08-12,1015.9624796407147
2015-08-13,1018.8549114953421
2015-08-14,1017.3339606829118
2015-08-17,1021.8941263652025
2015-08-18,1019.7585974900906
2015-08-19,1008.9977605383958
2015-08-20,992.8107376385988
2015-08-21,967.1223411684932
2015-08-24,939.1353613261897
2015-08-25,931.9563746505962
2015-08-26,956.5526026865787
2015-08-27,976.3475483653976
2015-08-28,976.6291241600347
2015-08-31,973.6224698479311
2015-09-01,943.8407888205847
2015-09-02,950.9218565264008
2015-09-03,961.1678311566197
2015-09-04,947.8346427746884
2015-09-08,979.1784009317015
2015-09-09,968.9074860341495
2015-09-10,978.3608687594038
2015-09-11,977.7812128183109
2015-09-14,975.5364508531009
2015-09-15,977.9739580776218
2015-09-16,992.935482740884
2015-09-17,993.2277931036884
2015-09-18,984.6797429305767
2015-09-21,1002.448417655597
2015-09-22,987.9757453337461
2015-09-23,985.3331554166055
2015-09-24,977.7332986034966
2015-09-25,983.664154014397
2015-09-28,947.0437366568839
2015-09-29,945.6719142390652
2015-09-30,962.561714699219
2015-10-01,966.6672183348812
2015-10-02,972.6324745628729
2015-10-05,1001.535723723077
2015-10-06,994.0366648080576
2015-10-07,998.4704600423736
2015-10-08,1000.5811436167992
2015-10-09,1003.9780194603882
2015-10-12,1009.2198436717147
2015-10-13,999.7457409742615
2015-10-14,995.756505294054
2015-10-15,1005.7142566924826
2015-10-16,1007.474273806179
2015-10-19,1010.7653082795
2015-10-20,1017.6662703108484
2015-10-21,1009.1423296629889
2015-10-22,1000.7674538840155
2015-10-23,1011.1892422229171
2015-10-26,1017.3583817511798
2015-10-27,1005.4170809763391
2015-10-28,1000.8786598894399
2015-10-29,991.964809832971
2015-10-30,986.9211041649926
2015-11-02,978.8130942658445
2015-11-03,988.2381264500127
2015-11-04,989.9130734901464
2015-11-05,994.467925795718
2015-11-06,981.4228075959409
2015-11-09,971.7802810846076
2015-11-10,975.656197723181
2015-11-11,967.1547189212596
2015-11-12,955.415298602561
2015-11-13,951.4246142508584
2015-11-16,960.6185278206408
2015-11-17,958.3134408004606
2015-11-18,971.4811556766434
2015-11-19,986.3207239370868
2015-11-20,988.1024185723337
2015-11-23,983.932833885264
2015-11-24,984.6286013205083
2015-11-25,983.6343413145735
2015-11-27,984.5616378719757
2015-11-30,977.454454157351
2015-12-01,995.1197753148031
2015-12-02,987.0322235622236
2015-12-03,970.5974671956249
2015-12-04,980.727816601797
2015-12-07,973.4485241827189
2015-12-08,975.5969077546504
2015-12-09,980.6567198513767
2015-12-10,981.557485852599
2015-12-11,958.0044235109182
2015-12-14,968.2259298538485
2015-12-15,984.401151201048
2015-12-16,996.2482585087176
2015-12-17,975.8014579388998
2015-12-18,957.3629556829258
2015-12-21,963.2647915934067
2015-12-22,968.021492145429
2015-12-23,986.326158026629
2015-12-24,986.6471823602524
2015-12-28,983.4409919169193
2015-12-29,994.8088005679654
2015-12-30,986.3030323647762
2015-12-31,976.7411085677081
2016-01-04,962.785944617886
2016-01-05,959.3671248702414
2016-01-06,950.1879262508464
2016-01-07,934.5843697467144
2016-01-08,929.5105108353695
2016-01-11,929.5201145178755
2016-01-12,939.688197387766
2016-01-13,916.3977708432152
2016-01-14,922.400638411474
2016-01-15,899.6093280671648
2016-01-19,892.2647772800487
2016-01-20,897.2076449525282
2016-01-21,909.6372843192761
2016-01-22,902.6366911979585
2016-01-25,893.5881873387751
2016-01-26,906.3712066846142
2016-01-27,901.0775093904417
2016-01-28,891.8434287453882
2016-01-29,916.6808903529575
2016-02-01,923.0474280352646
2016-02-02,909.5694905653847
2016-02-03,921.4857100359711
2016-02-04,921.7695718998857
2016-02-05,906.7079495286727
2016-02-08,877.8105446988833
2016-02-09,878.7386530400383
2016-02-10,885.2536470360685
2016-02-11,876.0691771664585
2016-02-12,895.7909552243018
2016-02-16,904.7498372657609
2016-02-17,919.4444544913796
2016-02-18,928.0306321632759
2016-02-19,935.7642246439053
2016-02-22,954.0970564712402
2016-02-23,951.7515813857867
2016-02-24,958.7830933497446
2016-02-25,963.203066075921
2016-02-26,960.1853627396649
2016-02-29,959.2161533146586
2016-03-01,974.048498201066
2016-03-02,969.0355740222088
2016-03-03,978.1375354358348
2016-03-04,979.4897068422207
2016-03-07,977.5668548877059
2016-03-08,962.0196306142095
2016-03-09,968.0235112629531
2016-03-10,950.486418100134
2016-03-11,962.2495520705968
2016-03-14,960.5907872300371
2016-03-15,965.0032184091169
2016-03-16,970.7240516698366
2016-03-17,983.6737246894661
2016-03-18,985.8939972176072
2016-03-21,980.158791501311
2016-03-22,979.6969384797097
2016-03-23,982.1225805926391
2016-03-24,983.9132932200874
2016-03-28,989.5984907072868
2016-03-29,999.1003755922408
2016-03-30,1021.197878907743
2016-03-31,1026.1538353806177
2016-04-01,1023.1332808662239
2016-04-04,1014.0028019386837
2016-04-05,1001.2577522737606
2016-04-06,1007.8618280090824
2016-04-07,998.9658390653592
2016-04-08,1015.1285619159281
2016-04-11,1015.44560071321
2016-04-12,1020.4300368641827
2016-04-13,1031.0006714605838
2016-04-14,1036.1079715642693
2016-04-15,1032.402231661051
2016-04-18,1044.4995530210492
2016-04-19,1053.503681142437
2016-04-20,1058.715603290835
2016-04-21,1053.052896311971
2016-04-22,1043.4114406409335
2016-04-25,1037.2411145971435
2016-04-26,1047.6516788792685
2016-04-27,1053.5570877317055
2016-04-28,1052.9132474586113
2016-04-29,1046.1937125025888
2016-05-02,1052.492968798942
